date_cst,create_time_cst,url,id,type,text,top
2026-04-16,2026-04-16 18:41:08+0800,https://www.douyin.com/video/7629305320225255012,7629305320225255012,video,共创 6878 进步不能停！徐远征投篮问题诊断，主视眼观念限制了他的篮球发展之路！#waveball #投篮教学 #进步不能停 #投篮发力,757
2026-01-20,2026-01-20 13:56:34+0800,https://www.douyin.com/note/7597318663230210438,7597318663230210438,note,1060 把热爱变成工作！想提升个人价值 想在篮球领域/互联网进一步发展 可以找我聊聊 #waveball,757
2025-12-11,2025-12-11 17:37:27+0800,https://www.douyin.com/video/7582532179743493435,7582532179743493435,video,置顶 4.1万 从59分到97分！如何快速让前国家球员提升投篮效率。 今年7月在北京，本频道联合Shot lab 投篮实验室，对前国家队球员 @孟铎Danny3 进行的投篮测试与实时优化。孟铎作为球员时期也是以投射见长，他的参与也让整个测试更具参考价值。优化后，他的投篮从出手弧度、出手速度到发力效率都实现了可量化的提升。#waveball #shotlab #投篮,330
2025-11-26,2025-11-26 10:30:06+0800,https://www.douyin.com/video/7576855772332608774,7576855772332608774,video,3.6万 为何训练准，强度实战拉？ 此视频揭开了国内很多球员的共性问题，曾被下架，李添荣、林葳、廖三宁……与优秀射手上肢结构的决定性差异。#waveball #投篮教学 #发力矫正 #林葳 #李添荣,757
2025-11-22,2025-11-22 11:25:00+0800,https://www.douyin.com/video/7575385579668524315,7575385579668524315,video,4891 林葳投篮问题深度分析，普通人也常会陷入同样的困境！ 林葳在NCAA已打了4场比赛，无论中距离还是三分，目前还没有一次命中！本期视频将对林威的投篮问题做深度分析，同时提供解决思路，林葳的投篮困境，其实很多普通人都会遇到。#waveball #投篮教学 #发力矫正 #林葳,1184
2025-09-21,2025-09-21 10:24:36+0800,https://www.douyin.com/video/7552362733249793315,7552362733249793315,video,6135 再次成功诊断库里投篮问题！库里自述“在足弓间打球” 我之前对库里投篮问题的诊断，在库里最新发布的自传中得到验证。库里：我整个上半身的所有动作都在为纠正脚下的失衡而做出调整，这次投篮或许还是能投进，但投进的概率已经“谬以千里”。 #发力矫正 #投篮教学 #waveball #库里,1184
2025-08-19,2025-08-19 02:02:23+0800,https://www.douyin.com/video/7539987501855886638,7539987501855886638,video,置顶 9259 “半人半神”库里最新投篮问题诊断 库里如何补救投篮中下肢的失衡，含普通人同类问题解决思路。#waveball #库里中国行,330
2025-07-11,2025-07-11 00:37:11+0800,https://www.douyin.com/video/7525493225554038056,7525493225554038056,video,3724 走出误区！投篮一定得空出手心，投篮射程与精准控制都能兼顾 为何仅用指尖投篮就能完整超远三分，无论是顶级射手凯特琳克拉克的一段式投篮，还是小手麦康奈尔的两段式投篮，他们的手掌大小与普通人相近，都是采用的空手心的持球方式。手掌贴球的持球方式能解决部分射程，但它会让你丢失手腕手指的精准控制。#waveball #投篮教学 #凯特琳克拉克,1184
2025-07-08,2025-07-08 10:22:47+0800,https://www.douyin.com/note/7524530878112075066,7524530878112075066,note,284 Nike✖️Shotlab 打出名堂。Ai智能助力，精准剖析球员问题，用数据驱动的客观分析➕教练的经验判断，让每个球员的发展路径都建立在可量化、可验证的科学基础上。,1611
2025-06-10,2025-06-10 01:00:49+0800,https://www.douyin.com/video/7513995676607384883,7513995676607384883,video,8855 为何很多人的动态投篮比原地更准？亚翰与丹尼投篮分析 首先在亚翰的自然的步态中可以看到有双脚外八的习惯，在他的投篮中常见脚外八与肘外翻的情况，此问题导致他原地投篮时关节对位困难，投篮命中率偏低，这是由于在原地投篮没有足够的空间把脚下与肘部回正，整体的发力效率与方向控制都会受到明显影响。同时在他的原地投篮中他会出现明显的先伸髋再蹬地的低效发力模式，这会导致他的重心前倾，用过度跪膝来代偿发力角度与力量。#投篮教学 #waveball,1611
2025-05-30,2025-05-30 22:00:07+0800,https://www.douyin.com/video/7510238259260198144,7510238259260198144,video,1.6万 NBA全明星球员的投篮修改详细指南，对普通人极具参考价值！ NBA全明星球员自述是如何修改投篮的，雷霆队的杰伦·威廉姆斯在上赛季投出了42.7%的三分命中率，视频是德文·威廉姆斯采访杰威，关于他投篮习惯的建立以及修改，这对于有调整投篮习惯需求的小伙伴极具参考价值。 本视频主要从投篮站位、持球习惯、辅助手习惯、起球轨迹、投篮瞄准、投篮弧度这六大方面来做解读。#waveball #投篮教学,1611
2025-05-27,2025-05-27 02:24:38+0800,https://www.douyin.com/video/7508822081828637961,7508822081828637961,video,3981 库里训练师解答成为动态射手最重要的下肢基础！ 上期视频中关于戈登投篮站距的调整，很多人并未能理解投篮站距对发力效率的影响，本期视频就分享库里私人训练师佩恩“关于投篮中站距”的解答，佩恩的很多训练理念都是基于运动生物力学，重点是用“身体投篮”，这区别于传统的用上肢投篮的理念，这能让球员更好的成为一名动态射手，这也是本频道一直在推行的理念，视频末尾将分享普通人如何通过关节对位，提高动态投篮的稳定性以及发力效率。#waveball #投篮教学 #库里,2038
2025-05-23,2025-05-23 03:40:17+0800,https://www.douyin.com/video/7507357236495125770,7507357236495125770,video,6062 从“不会投篮的糙汉”到“NBA史上投篮最快进步”的关键先生 阿隆·戈登是NBA历史上首位，单赛季三分命中率与罚球命中率都提升了10%以上的球员，他曾经被诟病不会投篮，但他的职业生涯一直都在证明自己。他在投篮技术上的显著进步，这源于他多个休赛期的技术调整与训练积累，根据多篇美媒的报道与本频道的技术分析，他投篮水平的提升主要归功于两个大方向的针对性改进。#阿隆戈登 #waveball #投篮教学,2038
2025-05-18,2025-05-18 11:36:08+0800,https://www.douyin.com/video/7505624436997999923,7505624436997999923,video,7257 手腕不要后倒？不要让直腕毁了你的投篮！ 近两年来在网络上一直流传着投篮要像库里一样保持直腕，手腕不要“后倒”等谣言。这样的教学理念误导了太多篮球爱好者，本期视频将从生物力学和实战角度解析这一误区，并还原手腕在投篮中的真实作用。#投篮教学 #waveball #库里 #汤普森 #纳什,2038
2025-05-13,2025-05-13 12:26:38+0800,https://www.douyin.com/video/7503782025742404875,7503782025742404875,video,2280 勇士队新星库明加投篮的技术缺陷！ 在强调空间与效率的现代篮球体系中，投射能力已成为球员的核心竞争力之一。乔纳森·库明加的投篮短板，正逐渐从技术缺陷演变为职业发展道路上的绊脚石，这类问题在普通人中也是比较常见的，而国内球员中像陈国豪也存在类似问题，针对此类问题，本视频分享一个相对高效的改善方向。#投篮教学 #waveball #库明加,2465
2025-05-07,2025-05-07 12:28:07+0800,https://www.douyin.com/video/7501555893349469466,7501555893349469466,video,1076 为何要练闭眼投篮？ 把投篮冥想加入你的投篮训练，激活神经链接，快速打通流畅发力。#欧文 #科比 #乔丹 #投篮教学 #waveball,2465
2025-05-02,2025-05-02 01:13:02+0800,https://www.douyin.com/video/7499526500169895178,7499526500169895178,video,2.7万 一跃成为NBA赛季三分王，爱德华兹投篮进化的秘密！ 两年前本频道就在视频中诟病过爱德华兹的投篮问题，终于在本赛季爱德华兹完成了投篮初步进化，他在常规赛命中了320计三分，成为了本赛季的NBA三分王。三分命中率相比上赛季上升了近5%，达到了39.4%。 爱德华兹投篮的进步得益于森林狼的投篮教练海因斯，在海因斯耐心的劝说下，爱德华兹接受了海因斯对他的投篮调整。调整的重点是简化他的投篮动作，调整的细节主要是三个方面。#投篮教学 #waveball #爱德华兹,2465
2025-04-17,2025-04-17 02:59:54+0800,https://www.douyin.com/video/7493987762757045539,7493987762757045539,video,1.0万 打破传统教学！才能轻松建立上下肢协同的投篮发力 这可能是推动中国篮球发展的投篮教学案！前面我们讲了很多期关于上下肢协同依次发力的投篮模式，很多网友想知道该如何做到，本期视频就以一位比较典型的，上肢主导发力的小球员的矫正训练为例，普通人该如何建立此类发力模式。 这位小球员的投篮习惯，也是在塞尔维亚青训体训中养成的，是比较典型的上肢主导，同时伴随着重心前倾，以及过度依赖膝关节的问题，这导致了他力量的转化低效，投篮速度慢，抗干扰能力弱，我们的改造目标是让他建立，低肘跳投的投篮模型。#投篮教学 #waveball,2892
2025-04-12,2025-04-12 16:54:10+0800,https://www.douyin.com/video/7492347327257070857,7492347327257070857,video,1346 不要用几段式投篮定义自己！ 不要用几段式投篮定义自己，建立流畅的一段式发力基础后，即可随机切换。 博主也是一个代表案例，本人35岁，右脚外侧副韧带断裂/未手术，主视眼与投篮手异侧，主视眼强势。 #waveball #投篮教学,2892
2025-04-10,2025-04-10 02:50:12+0800,https://www.douyin.com/video/7491387667301551395,7491387667301551395,video,3111 两罚不中再次被绝杀！胡明轩关键时刻投篮短路的真相 前一天我做了一期胡明轩投篮问题的分析，第二天在CBA季后赛中，胡明轩的在比赛最后2秒钟，两次罚球都接连偏出，最终遭遇对手绝杀。这场比赛中胡明轩的诸多投篮，也应验了我上期对他投篮问题的分析，胡明轩的投篮总在关键时刻短路并非偶然。#waveball #投篮教学 #胡明轩,2892
2025-04-08,2025-04-08 01:40:16+0800,https://www.douyin.com/video/7490627475781733683,7490627475781733683,video,976 胡明轩投篮问题浅析！主视眼强势导致上肢力线扭曲，发力卡顿。 胡明轩在投篮时，他的投篮手肩肘腕并不是一条直线对框，而是倾斜的，他的投篮手臂会向内撇，他的视线是偏向投篮手的外侧去看框。近一年来，找我做矫正训练的人，其中大概有80%都会出现类似情况，他们的投篮手无法拉直对框，都是倾斜的状态，而在这一类人中约90%都是，投篮手与主视眼异侧的类型，或主视眼过于强势的问题，视频中也展示了普通人与CBA职业球员成功矫正的案例。#投篮教学 #waveball #胡明轩,3319
2025-04-05,2025-04-05 00:48:53+0800,https://www.douyin.com/video/7489500979885395210,7489500979885395210,video,4255 投篮进化论！你的投篮是否还停留在灵长类动物阶段？ 3岁的库里投篮与猴子的投篮动作相似，灵长类动物的投掷发力具有，发力脱节、上肢主导、效率低下的特点，人类投掷能力的本质突破，在于将灵长类的简单上肢推掷，升级为全身弹性系统协调的精准投射，灵长类动物的过顶投掷特征具体表现为四个方面，而这四个方面也是很多人在投篮中出现问题的根源。#投篮教学 #waveball #库里,3319
2025-03-30,2025-03-30 10:14:08+0800,https://www.douyin.com/video/7487420132151627071,7487420132151627071,video,7941 这是很多人的缩影！高强度防守下，周楷恒灾难级的投篮表现！ 投篮成了周楷恒冲击职业的绊脚石！本视频主要还原当他在面对接近职业水平的防守时，他的投射问题被进一步放大的现实。他想要冲击职业，必须得弥补投篮这块短板，精准的投篮不只是肌肉记忆的简单堆砌，当你的投篮结构存在明显缺陷时，这种机械的重复虽能维持基础命中率，却封堵了你突破上限的空间。#投篮教学 #waveball,3319
2025-03-27,2025-03-27 09:25:46+0800,https://www.douyin.com/video/7486294410494299428,7486294410494299428,video,每周精选内容 3.3万 手型摇摆，发力脱节！如何解决周楷恒这类投篮世界难题？ 最近有网友要我谈下周凯恒在澳大利亚进行的的投篮专项训练，他的投篮是否有变化？训练师指出了他两个比较明显的问题，第一点是他在最高点出手，产生了发力脱节，形成了下坠跳投，第二点是他的手型摇摆不定，但训练中这两大问题并未能解决，本视频将深度解读问题根源并提供解决方案。#waveball #投篮教学,3746
2025-03-25,2025-03-25 11:42:32+0800,https://www.douyin.com/video/7485587485167226151,7485587485167226151,video,8279 低肘炮台！小个子也能当狙击手，丁超投篮深度解析 为何一米八小伙能在三分线外两米轻松干拔跳投？ 他的投篮既有库里一样上下肢协同的力学效率，又有麦迪投篮一般的美学张力， 大家一直催更国内值得学习的投篮模板，那么丁超的低肘跳投就是相当优质的投篮模型，一些人看到他的起跳高度可能会望而却步，但我们是可以降阶去学习的，视频重点解析的是他高效流畅的发力模式。#投篮教学 #waveball #丁超,3746
2025-03-22,2025-03-22 11:54:58+0800,https://www.douyin.com/video/7484477433110940980,7484477433110940980,video,2253 浅谈国内相对落后的投篮技术及教学！ 打破传统认知，揭露现代投射的核心！ 国内90%以上的投篮教学，仍然坚持上肢主导的模式，还是先起球再蹬地的类型，这与世界顶级投手的技术发展，已存在了明显脱节，而像这种世界顶级投手，他们是下肢驱动优先的原则，躯干参与旋转发力投篮，是一个全身动力链的末端释放，这种认知的断层，导致从国内的职业球员到国家队球员再到普通大众都普遍存在相对低效的的发力习惯。#投篮教学 #waveball #中国篮球,3746
2025-03-20,2025-03-20 12:12:36+0800,https://www.douyin.com/video/7483739808062328073,7483739808062328073,video,1688 如何快速解锁库里同款抛投！ 抛投是投篮的重要基础，本视频通过矫正训练解决常见的抛投问题，快速解锁库里同款抛投，含专项转化训练。#waveball #投篮教学 #库里 #抛投,4173
2025-03-19,2025-03-19 12:17:12+0800,https://www.douyin.com/video/7483369907036376370,7483369907036376370,video,2033 丁超投篮浅析1.0 理清发力顺序，把控发力节奏，普通人也可以轻松跳投三分！ #投篮教学 #waveball,4173
2025-03-16,2025-03-16 10:26:43+0800,https://www.douyin.com/video/7482228181894728971,7482228181894728971,video,6206 同手同脚的上步习惯！导致约90%的人仍然存在投篮手快脚慢 同手同脚的上步习惯！导致约90%的人仍然存在投篮手快脚慢/弹道偏左，本视频讲解了从普通大众到国内外职业球员普遍存在的投篮问题，并通过拆解上步投篮来解决投篮手快脚慢/弹道偏左的问题！#投篮教学 #waveball #库里,4173
2025-03-12,2025-03-12 12:25:44+0800,https://www.douyin.com/video/7480774509432147251,7480774509432147251,video,825 沉浸式投篮发力矫正训练 投篮精英化：发力流畅下的稳定控制 @安丁GhostBaller #投篮教学 #waveball,4600
2025-03-11,2025-03-11 01:52:01+0800,https://www.douyin.com/video/7480240118100413706,7480240118100413706,video,5154 肘正腕侧，腕正肘翻！投篮中的正腕与侧腕的由来 侧身侧腕投篮如何做到流畅的转腕？#投篮教学 #waveball,4600
2025-03-09,2025-03-09 14:36:50+0800,https://www.douyin.com/video/7479695041884097830,7479695041884097830,video,3732 罕见优质！会跳投的中国女库里，邓雨婷投篮深度解析 她既能像库里一样在比赛中从容的极限出手，也能面对防守像布克一样贴脸跳投，她就是最近在NCAA打出名堂的中国球员邓雨婷，邓雨婷的投射技术足够优秀，在女生中是非常罕见，也是比较值得国内球员与普通大众参考的模型。#邓雨婷 #waveball #投篮教学,4600
2025-02-14,2025-02-14 18:07:40+0800,https://www.douyin.com/video/7471214412595088666,7471214412595088666,video,8323 走出误区！顶级射手投篮的引膝发力≠'跪膝'蓄力 颠覆传统！解决从发力脱节到流畅跳投，不要再把顶级射手的引膝发力做成了跪膝蓄力。#waveball #投篮教学 #库里 #布克,5027
2025-01-30,2025-01-30 19:01:37+0800,https://www.douyin.com/video/7465662037994016009,7465662037994016009,video,4069 如何消除重心前倾？解锁轻松远投 #waveball #投篮教学,5027
2025-01-27,2025-01-27 12:29:27+0800,https://www.douyin.com/video/7464447720997113126,7464447720997113126,video,5536 河村永辉的投篮正在蜕变！为何垫步投篮如此轻松顺畅？ 这是比库里平均射程还远的NCAA历史得分王克拉克，这是在三分大赛上与库里对决的WNBA三分约内斯库，她们在投篮时常使用垫步衔接，为何使用垫步投篮如此轻松顺畅？ 河村永辉进入NBA前也常使垫步衔接投篮，但他垫步后是踝膝髋深度压缩的方式，很少利用垫步转化的力量和速度，再进入NBA后的这段时期，他对此脚步的运用有显著的提升，他减小了髋膝踝的压缩幅度，更多利用到了弹性爆发，正确的使用垫步能使投篮更加快速、省力。#waveball #河村永辉 #投篮教学 #库里,5027
2025-01-10,2025-01-10 21:41:12+0800,https://www.douyin.com/video/7458281458281483556,7458281458281483556,video,1.6万 顶级射手的共性！辅助手拇指拨球适合哪些人？ 麦迪在他本人视频中提到的，在投篮时，许多顶级射手都有的辅助手大拇指拨球的习惯，但很多人认为这种投篮方式与传统的投篮教学相悖，担心会影响投篮的稳定性，哪些人群投篮时适用辅助手拇指拨球呢？ #投篮教学 #waveball #麦迪 #库里 #萨布丽娜,5454
2025-01-08,2025-01-08 12:04:11+0800,https://www.douyin.com/video/7457390590817373476,7457390590817373476,video,9075 NBA顶级后卫的投篮为何如此吃力？ 亚历山大已成长为 NBA 全明星级别的后卫，但他的投篮也存在明显的问题，他的生涯三分命中率在35%左右，这块短板与顶级后卫仍有较大差距，尤其他投篮的上肢框架并不建议大家去效仿学习。亚历山大这类问题要做到流畅的高肘部跳投，可参考相似的优质案例，杜兰特或科比。此外， 手眼异侧主导的类型，也可以通过特定的训练做到顺畅的低肘部投篮 #waveball #投篮教学 #亚历山大 #杜兰特 #科比,5454
2024-12-20,2024-12-20 11:29:37+0800,https://www.douyin.com/video/7450331067870924059,7450331067870924059,video,6330 请勿模仿！麦凯恩的投篮隐患，脚外八、足弓塌陷、膝前跪。 近日麦凯恩在比赛中受伤，左腿膝关节外侧半月板撕裂，赛季报销。 而在他的投篮中一直埋藏着这样的伤病隐患，这也是在广大球友中很常见的问题。 整体来看，麦凯恩的下肢发力结构存在问题，在他下肢的蓄力与发力中膝关节参与的比重偏多，在他投篮准备时，他习惯偏宽的站位，双脚呈外八站位 ，在他蹬伸时，膝关节会向内收，脚尖依然呈外八走向，膝盖与脚尖的不同向，会在膝关节产生剪切力，他在比赛中同样也是起跳落地时膝盖与脚尖不同向，形成膝关节处过大的剪切力，最终造成膝关节外侧半月板撕裂。 同时在投篮中这种脚外八，膝内扣的结构，会造成他的足外翻，让他的整个足弓向下塌陷，在蹬伸的过程中，足弓的支撑不足，膝关节负荷偏多，蹬伸速度与力量传导都会大打折扣。 #发力矫正 #waveball #投篮教学 #麦凯恩,5454
2024-12-14,2024-12-14 20:24:48+0800,https://www.douyin.com/video/7448242468799155496,7448242468799155496,video,6350 为何国家队后卫廖三宁的投篮弹道总是偏左？ 投篮一直是国家队后卫廖三宁的技术短板，今年他也赴美找投篮教练进行了特训，但并未解决根本问题，在廖三宁的投篮中，他的头部会随着视线做向右的偏转， 头部决定了我们的身体重心，发力时头部的转动影响了整体的平衡。而右手球员投篮时头部向左转动是一种对抗发力的形式，会造成投篮手发力的卡顿与扭曲。 在最近找我做矫正训练的10位球员中有9位球员都存在与廖三宁类似的问题，而这9位学员全部都是右手投篮，左眼主视的异侧类型。#waveball #投篮教学 #发力矫正,5882
2024-11-10,2024-11-10 10:25:40+0800,https://www.douyin.com/video/7435471177138621748,7435471177138621748,video,共创 5784 投篮精英化/如何解决库里都常出现的投篮问题 这是让库里都频繁失误，反复复盘的投篮脚步，也是大多数人投篮衔接的一个痛点。从左向右的跑动在球场的右侧衔接投篮，这也是让防守比较难受的进攻方式，在库里的日常投篮训练中，常在这个环节出现频繁的失误，在本次库里中国行的训练中，他的投篮同样在此环节出现了卡点。 #投篮教学 #waveball #投篮精英化,5882
2024-11-02,2024-11-02 11:28:27+0800,https://www.douyin.com/video/7432518675426463013,7432518675426463013,video,4426 你可能不适合右手投篮，2小时快速修改投篮惯用手做到流畅跳投！ #投篮教学 #发力矫正 #waveball,5882
2024-10-31,2024-10-31 12:27:21+0800,https://www.douyin.com/video/7431791686927404297,7431791686927404297,video,1846 听说男生用左手扔东西会很娘！ IPT训练师们的弱侧手投篮什么水平？ @安丁GhostBaller @训练师-星 @Skill Trainer 六号体育 陆 #ipt #waveball,6309
2024-10-29,2024-10-29 18:28:57+0800,https://www.douyin.com/video/7431142699882908937,7431142699882908937,video,1946 西班牙联赛球员的投篮技术优化 发力扭曲，投篮卡顿！ 西班牙联赛球员的发力矫正与投篮技术优化 #投篮教学 #发力矫正 #waveball,6309
2024-10-20,2024-10-20 19:13:54+0800,https://www.douyin.com/video/7427814516467060005,7427814516467060005,video,4242 追根溯源！解决投篮手内撇，稳定投篮手型 41岁叶天突遇到投篮难题，TFCC损伤+投篮手内撇习惯。 #投篮教学 #发力矫正 #waveball,6309
2024-10-16,2024-10-16 14:11:47+0800,https://www.douyin.com/video/7426252318347169062,7426252318347169062,video,1320 对话NBA投篮训练师，快速建立流畅的下肢发力！ 探访IPT训练师认证营，投篮中如何建立流畅的下肢发力。#篮球教学 #发力矫正 #waveball #ipt,6736
2024-08-18,2024-08-18 15:08:36+0800,https://www.douyin.com/video/7404372935915408680,7404372935915408680,video,2575 小伙自称已掌握超绝投篮！ 在上完投篮矫正课后，小伙自信心爆棚，称已掌握超绝投篮！他的课后总结能力很棒，把思考带入训练，事半功倍。#waveball #发力矫正 #投篮教学,6736
2024-07-20,2024-07-20 11:23:33+0800,https://www.douyin.com/video/7393553471594630452,7393553471594630452,video,1426 投篮总是偏！可能是你的手眼协调出了问题 立竿见影！ 通过手眼协调解决投篮各种疑难杂症 #投篮教学 #waveball #发力矫正,6736
2024-06-27,2024-06-27 20:45:27+0800,https://www.douyin.com/video/7385163314084515082,7385163314084515082,video,4039 普通人如何像布克与库里一样建立高效的下肢发力模型！ #投篮教学 #发力矫正 #布克 #库里 #waveball,7163
2024-06-07,2024-06-07 03:38:05+0800,https://www.douyin.com/video/7377476860415970601,7377476860415970601,video,3519 现场指出亨德森的投篮问题 现场对话指出NBA探花的父亲，指出亨德森的投篮问题，亨德森父亲点赞认同！#斯库特亨德森 #投篮教学 #waveball,7163
2024-06-05,2024-06-05 12:23:05+0800,https://www.douyin.com/video/7376869979070778658,7376869979070778658,video,2205 从他高二开始关注报道，进入发展联盟与曾凡博成为队友，再到闪耀NBA舞台，篮球让世界变得很小，如今他就站在了我面前！ #亨德森中国行 #斯库特亨德森,7163
2024-05-25,2024-05-25 22:03:33+0800,https://www.douyin.com/video/7372937628032748835,7372937628032748835,video,5043 丁超/优质投篮模型 丁超的投射在本场比赛中独一档，最终也获得2024年CUBAL全明星赛MVP！ #cubal #丁超 #waveball,7590
