source,relation,target
douyin_6786590925469666573,关联节点,证据不足
douyin_6786857122438073614,关联节点,证据不足
douyin_6788764177486859534,关联节点,证据不足
douyin_6794996847220935944,关联节点,证据不足
douyin_6810695408914795790,关联节点,证据不足
douyin_6826551649125829899,关联节点,下肢蹬伸链
douyin_6826551649125829899,关联节点,出手高度低
douyin_6826551649125829899,关联节点,前臂屈伸肌群
douyin_6826551649125829899,关联节点,单手直线投篮
douyin_6826551649125829899,关联节点,核心抗前冲
douyin_6826551649125829899,关联节点,核心抗前冲定点投
douyin_6826551649125829899,关联节点,核心稳定不足
douyin_6826551649125829899,关联节点,核心稳定肌群
douyin_6826551649125829899,关联节点,肘腕力线不直
douyin_6826551649125829899,关联节点,肘腕释放链
douyin_6826551649125829899,关联节点,膝髋伸展不足
douyin_6826551649125829899,关联节点,证据不足
douyin_6826551649125829899,关联节点,躯干旋转控制
douyin_6826551649125829899,关联节点,近筐节奏投
douyin_6826551649125829899,关联节点,释放点低
douyin_6834814705744350468,关联节点,三角肌前束
douyin_6834814705744350468,关联节点,前臂屈伸肌群
douyin_6834814705744350468,关联节点,单手直线投篮
douyin_6834814705744350468,关联节点,手肘外翻
douyin_6834814705744350468,关联节点,核心抗前冲定点投
douyin_6834814705744350468,关联节点,球路侧偏
douyin_6834814705744350468,关联节点,球路偏左偏右
douyin_6834814705744350468,关联节点,肘腕力线不直
douyin_6834814705744350468,关联节点,肘腕释放链
douyin_6834814705744350468,关联节点,证据不足
douyin_6834814705744350468,关联节点,辅助手发力
douyin_6834814705744350468,关联节点,辅助手未及时分离
douyin_6834814705744350468,关联节点,近筐节奏投
douyin_6839636321519078670,关联节点,证据不足
douyin_6852960285565734151,关联节点,肘腕释放链
douyin_6852960285565734151,关联节点,证据不足
douyin_6861063012929834253,关联节点,证据不足
douyin_6881987001738906887,关联节点,前臂屈伸肌群
douyin_6881987001738906887,关联节点,单手直线投篮
douyin_6881987001738906887,关联节点,核心抗前冲定点投
douyin_6881987001738906887,关联节点,球路侧偏
douyin_6881987001738906887,关联节点,球路偏左偏右
douyin_6881987001738906887,关联节点,肘腕释放链
douyin_6881987001738906887,关联节点,证据不足
douyin_6881987001738906887,关联节点,辅助手发力
douyin_6881987001738906887,关联节点,辅助手未及时分离
douyin_6881987001738906887,关联节点,近筐节奏投
douyin_6883319596607081736,关联节点,三角肌前束
douyin_6883319596607081736,关联节点,下肢蹬伸链
douyin_6883319596607081736,关联节点,低位到高位起球
douyin_6883319596607081736,关联节点,前臂屈伸肌群
douyin_6883319596607081736,关联节点,手肘外翻
douyin_6883319596607081736,关联节点,核心抗前冲定点投
douyin_6883319596607081736,关联节点,球路侧偏
douyin_6883319596607081736,关联节点,球路偏左偏右
douyin_6883319596607081736,关联节点,肘腕力线不直
douyin_6883319596607081736,关联节点,肘腕释放链
douyin_6883319596607081736,关联节点,证据不足
douyin_6883319596607081736,关联节点,近筐节奏投
douyin_6884442051119729927,关联节点,三角肌前束
douyin_6884442051119729927,关联节点,前臂屈伸肌群
douyin_6884442051119729927,关联节点,手肘外翻
douyin_6884442051119729927,关联节点,核心抗前冲
douyin_6884442051119729927,关联节点,核心抗前冲定点投
douyin_6884442051119729927,关联节点,核心稳定不足
douyin_6884442051119729927,关联节点,核心稳定肌群
douyin_6884442051119729927,关联节点,肘腕力线不直
douyin_6884442051119729927,关联节点,肘腕释放链
douyin_6884442051119729927,关联节点,证据不足
douyin_6884442051119729927,关联节点,近筐节奏投
douyin_6939372855595404580,关联节点,证据不足
douyin_6939381870614433031,关联节点,三角肌前束
douyin_6939381870614433031,关联节点,下肢蹬伸链
douyin_6939381870614433031,关联节点,前臂屈伸肌群
douyin_6939381870614433031,关联节点,肘腕释放链
douyin_6939381870614433031,关联节点,证据不足
douyin_6939381870614433031,关联节点,重心前冲
douyin_6939420170171485471,关联节点,证据不足
douyin_6939457280974867726,关联节点,证据不足
douyin_6939743616252251428,关联节点,证据不足
douyin_6948759098275925279,关联节点,三角肌前束
douyin_6948759098275925279,关联节点,上下肢脱节
douyin_6948759098275925279,关联节点,下肢蹬伸链
douyin_6948759098275925279,关联节点,前臂屈伸肌群
douyin_6948759098275925279,关联节点,肘腕力线不直
douyin_6948759098275925279,关联节点,肘腕释放链
douyin_6948759098275925279,关联节点,膝髋伸展不足
douyin_6948759098275925279,关联节点,证据不足
douyin_6948759098275925279,关联节点,近筐节奏投
douyin_6956809170867866916,关联节点,证据不足
douyin_6960221963126197512,关联节点,证据不足
douyin_6979113220862725412,关联节点,下肢蹬伸链
douyin_6979113220862725412,关联节点,前臂屈伸肌群
douyin_6979113220862725412,关联节点,单手直线投篮
douyin_6979113220862725412,关联节点,核心抗前冲定点投
douyin_6979113220862725412,关联节点,肘腕力线不直
douyin_6979113220862725412,关联节点,肘腕释放链
douyin_6979113220862725412,关联节点,证据不足
douyin_6979113220862725412,关联节点,近筐节奏投
douyin_6979534826395274509,关联节点,证据不足
douyin_6981707544909597960,关联节点,证据不足
douyin_6992512006905482503,关联节点,证据不足
douyin_6993626601162345764,关联节点,低位到高位起球
douyin_6993626601162345764,关联节点,出手高度低
douyin_6993626601162345764,关联节点,前臂屈伸肌群
douyin_6993626601162345764,关联节点,手肘外翻
douyin_6993626601162345764,关联节点,肘腕力线不直
douyin_6993626601162345764,关联节点,肘腕释放链
douyin_6993626601162345764,关联节点,证据不足
douyin_6993626601162345764,关联节点,释放点低
douyin_6995536241978526984,关联节点,三角肌前束
douyin_6995536241978526984,关联节点,下肢蹬伸链
douyin_6995536241978526984,关联节点,前臂屈伸肌群
douyin_6995536241978526984,关联节点,手肘外翻
douyin_6995536241978526984,关联节点,肘腕力线不直
douyin_6995536241978526984,关联节点,肘腕释放链
douyin_6995536241978526984,关联节点,证据不足
douyin_6995536241978526984,关联节点,重心前冲
douyin_6997613791248747806,关联节点,下肢蹬伸链
douyin_6997613791248747806,关联节点,前臂屈伸肌群
douyin_6997613791248747806,关联节点,手肘外翻
douyin_6997613791248747806,关联节点,核心抗前冲定点投
douyin_6997613791248747806,关联节点,球路侧偏
douyin_6997613791248747806,关联节点,球路偏左偏右
douyin_6997613791248747806,关联节点,肘腕释放链
douyin_6997613791248747806,关联节点,证据不足
douyin_6999194171127074056,关联节点,证据不足
douyin_7002158395511934212,关联节点,上下肢脱节
douyin_7002158395511934212,关联节点,下肢蹬伸链
douyin_7002158395511934212,关联节点,出手高度低
douyin_7002158395511934212,关联节点,前臂屈伸肌群
douyin_7002158395511934212,关联节点,手肘外翻
douyin_7002158395511934212,关联节点,核心抗前冲定点投
douyin_7002158395511934212,关联节点,核心稳定肌群
douyin_7002158395511934212,关联节点,肘腕力线不直
douyin_7002158395511934212,关联节点,肘腕释放链
douyin_7002158395511934212,关联节点,膝髋伸展不足
douyin_7002158395511934212,关联节点,证据不足
douyin_7002158395511934212,关联节点,释放点低
douyin_7004663931947994400,关联节点,上下肢脱节
douyin_7004663931947994400,关联节点,下肢蹬伸链
douyin_7004663931947994400,关联节点,前臂屈伸肌群
douyin_7004663931947994400,关联节点,压弹式起跳训练
douyin_7004663931947994400,关联节点,手快脚慢
douyin_7004663931947994400,关联节点,手肘外翻
douyin_7004663931947994400,关联节点,肘腕力线不直
douyin_7004663931947994400,关联节点,肘腕释放链
douyin_7004663931947994400,关联节点,股四头肌
douyin_7004663931947994400,关联节点,腓肠肌
douyin_7004663931947994400,关联节点,膝髋伸展不足
douyin_7004663931947994400,关联节点,证据不足
douyin_7004663931947994400,关联节点,足踝压弹链
douyin_7004663931947994400,关联节点,近筐节奏投
douyin_7006519669330955557,关联节点,下肢蹬伸链
douyin_7006519669330955557,关联节点,前臂屈伸肌群
douyin_7006519669330955557,关联节点,核心抗前冲定点投
douyin_7006519669330955557,关联节点,肘腕释放链
douyin_7006519669330955557,关联节点,证据不足
douyin_7006519669330955557,关联节点,近筐节奏投
douyin_7008849509849632013,关联节点,上下肢脱节
douyin_7008849509849632013,关联节点,下肢蹬伸链
douyin_7008849509849632013,关联节点,出手高度低
douyin_7008849509849632013,关联节点,前臂屈伸肌群
douyin_7008849509849632013,关联节点,肘腕力线不直
douyin_7008849509849632013,关联节点,肘腕释放链
douyin_7008849509849632013,关联节点,膝髋伸展不足
douyin_7008849509849632013,关联节点,证据不足
douyin_7008849509849632013,关联节点,躯干前倾过大
douyin_7008849509849632013,关联节点,释放点低
douyin_7008849509849632013,关联节点,重心前冲
douyin_7009115844902964519,关联节点,三角肌前束
douyin_7009115844902964519,关联节点,上下肢脱节
douyin_7009115844902964519,关联节点,上肢提前主导
douyin_7009115844902964519,关联节点,下肢压缩过深
douyin_7009115844902964519,关联节点,下肢蹬伸链
douyin_7009115844902964519,关联节点,前臂屈伸肌群
douyin_7009115844902964519,关联节点,手快脚慢
douyin_7009115844902964519,关联节点,核心稳定肌群
douyin_7009115844902964519,关联节点,肘腕释放链
douyin_7009115844902964519,关联节点,股四头肌
douyin_7009115844902964519,关联节点,肱三头肌
douyin_7009115844902964519,关联节点,膝髋伸展不足
douyin_7009115844902964519,关联节点,证据不足
douyin_7009115844902964519,关联节点,重心前冲
douyin_7011435359858953504,关联节点,上下肢脱节
douyin_7011435359858953504,关联节点,下肢蹬伸链
douyin_7011435359858953504,关联节点,垫步触地即弹
douyin_7011435359858953504,关联节点,手快脚慢
douyin_7011435359858953504,关联节点,核心稳定肌群
douyin_7011435359858953504,关联节点,筋膜弹性与牵张反射
douyin_7011435359858953504,关联节点,股四头肌
douyin_7011435359858953504,关联节点,腓肠肌
douyin_7011435359858953504,关联节点,膝髋伸展不足
douyin_7011435359858953504,关联节点,证据不足
douyin_7011435359858953504,关联节点,起跳慢
douyin_7011435359858953504,关联节点,足踝压弹链
douyin_7011435359858953504,关联节点,近筐节奏投
douyin_7013312431833238797,关联节点,三角肌前束
douyin_7013312431833238797,关联节点,下肢蹬伸链
douyin_7013312431833238797,关联节点,前臂屈伸肌群
douyin_7013312431833238797,关联节点,核心抗前冲定点投
douyin_7013312431833238797,关联节点,球路侧偏
douyin_7013312431833238797,关联节点,球路偏左偏右
douyin_7013312431833238797,关联节点,肘腕力线不直
douyin_7013312431833238797,关联节点,肘腕释放链
douyin_7013312431833238797,关联节点,证据不足
douyin_7013312431833238797,关联节点,辅助手发力
douyin_7013312431833238797,关联节点,辅助手未及时分离
douyin_7014311118449528071,关联节点,前臂屈伸肌群
douyin_7014311118449528071,关联节点,球路侧偏
douyin_7014311118449528071,关联节点,球路偏左偏右
douyin_7014311118449528071,关联节点,肘腕力线不直
douyin_7014311118449528071,关联节点,肘腕释放链
douyin_7014311118449528071,关联节点,证据不足
douyin_7014311118449528071,关联节点,躯干旋转控制
douyin_7014311118449528071,关联节点,辅助手发力
douyin_7014311118449528071,关联节点,辅助手未及时分离
douyin_7014311118449528071,关联节点,近筐节奏投
douyin_7018393096928922893,关联节点,三角肌前束
douyin_7018393096928922893,关联节点,上下肢脱节
douyin_7018393096928922893,关联节点,下肢蹬伸链
douyin_7018393096928922893,关联节点,前臂屈伸肌群
douyin_7018393096928922893,关联节点,单手直线投篮
douyin_7018393096928922893,关联节点,垫步触地即弹
douyin_7018393096928922893,关联节点,核心稳定肌群
douyin_7018393096928922893,关联节点,肘腕力线不直
douyin_7018393096928922893,关联节点,肘腕释放链
douyin_7018393096928922893,关联节点,腓肠肌
douyin_7018393096928922893,关联节点,膝髋伸展不足
douyin_7018393096928922893,关联节点,证据不足
douyin_7018393096928922893,关联节点,足踝压弹链
douyin_7018393096928922893,关联节点,辅助手发力
douyin_7018393096928922893,关联节点,辅助手未及时分离
douyin_7018393096928922893,关联节点,近筐节奏投
douyin_7021732668169555239,关联节点,三角肌前束
douyin_7021732668169555239,关联节点,下肢蹬伸链
douyin_7021732668169555239,关联节点,低位到高位起球
douyin_7021732668169555239,关联节点,前臂屈伸肌群
douyin_7021732668169555239,关联节点,核心稳定不足
douyin_7021732668169555239,关联节点,核心稳定肌群
douyin_7021732668169555239,关联节点,球路侧偏
douyin_7021732668169555239,关联节点,球路偏左偏右
douyin_7021732668169555239,关联节点,肘腕力线不直
douyin_7021732668169555239,关联节点,肘腕释放链
douyin_7021732668169555239,关联节点,证据不足
douyin_7021732668169555239,关联节点,辅助手发力
douyin_7021732668169555239,关联节点,辅助手未及时分离
douyin_7024701574664441124,关联节点,三角肌前束
douyin_7024701574664441124,关联节点,下肢蹬伸链
douyin_7024701574664441124,关联节点,前臂屈伸肌群
douyin_7024701574664441124,关联节点,手肘外翻
douyin_7024701574664441124,关联节点,球路侧偏
douyin_7024701574664441124,关联节点,球路偏左偏右
douyin_7024701574664441124,关联节点,肘腕力线不直
douyin_7024701574664441124,关联节点,肘腕释放链
douyin_7024701574664441124,关联节点,腓肠肌
douyin_7024701574664441124,关联节点,证据不足
douyin_7024701574664441124,关联节点,足踝压弹链
douyin_7024701574664441124,关联节点,辅助手发力
douyin_7024701574664441124,关联节点,辅助手未及时分离
douyin_7026927926356512011,关联节点,下肢蹬伸链
douyin_7026927926356512011,关联节点,压弹式起跳训练
douyin_7026927926356512011,关联节点,垫步触地即弹
douyin_7026927926356512011,关联节点,筋膜弹性与牵张反射
douyin_7026927926356512011,关联节点,膝髋伸展不足
douyin_7026927926356512011,关联节点,证据不足
douyin_7026927926356512011,关联节点,起跳慢
douyin_7029154030890863885,关联节点,三角肌前束
douyin_7029154030890863885,关联节点,上下肢脱节
douyin_7029154030890863885,关联节点,下肢压缩过深
douyin_7029154030890863885,关联节点,下肢蹬伸链
douyin_7029154030890863885,关联节点,前臂屈伸肌群
douyin_7029154030890863885,关联节点,单手直线投篮
douyin_7029154030890863885,关联节点,压弹式起跳训练
douyin_7029154030890863885,关联节点,核心稳定肌群
douyin_7029154030890863885,关联节点,球路侧偏
douyin_7029154030890863885,关联节点,球路偏左偏右
douyin_7029154030890863885,关联节点,筋膜弹性与牵张反射
douyin_7029154030890863885,关联节点,肘腕力线不直
douyin_7029154030890863885,关联节点,肘腕释放链
douyin_7029154030890863885,关联节点,腓肠肌
douyin_7029154030890863885,关联节点,膝髋伸展不足
douyin_7029154030890863885,关联节点,证据不足
douyin_7029154030890863885,关联节点,足踝压弹链
douyin_7029154030890863885,关联节点,躯干前倾过大
douyin_7029154030890863885,关联节点,辅助手发力
douyin_7029154030890863885,关联节点,辅助手未及时分离
douyin_7029154030890863885,关联节点,近筐节奏投
douyin_7029154030890863885,关联节点,重心前冲
douyin_7031380362534096160,关联节点,三角肌前束
douyin_7031380362534096160,关联节点,上下肢脱节
douyin_7031380362534096160,关联节点,下肢蹬伸链
douyin_7031380362534096160,关联节点,前臂屈伸肌群
douyin_7031380362534096160,关联节点,肘腕力线不直
douyin_7031380362534096160,关联节点,肘腕释放链
douyin_7031380362534096160,关联节点,肱三头肌
douyin_7031380362534096160,关联节点,膝髋伸展不足
douyin_7031380362534096160,关联节点,证据不足
douyin_7031380362534096160,关联节点,辅助手发力
douyin_7031380362534096160,关联节点,近筐节奏投
douyin_7031380362534096160,关联节点,重心前冲
douyin_7033704416129649959,关联节点,三角肌前束
douyin_7033704416129649959,关联节点,下肢蹬伸链
douyin_7033704416129649959,关联节点,伸髋不足
douyin_7033704416129649959,关联节点,伸髋起球
douyin_7033704416129649959,关联节点,前臂屈伸肌群
douyin_7033704416129649959,关联节点,核心抗前冲
douyin_7033704416129649959,关联节点,核心稳定不足
douyin_7033704416129649959,关联节点,肘腕力线不直
douyin_7033704416129649959,关联节点,肘腕释放链
douyin_7033704416129649959,关联节点,肱三头肌
douyin_7033704416129649959,关联节点,腓肠肌
douyin_7033704416129649959,关联节点,膝髋伸展不足
douyin_7033704416129649959,关联节点,证据不足
douyin_7033704416129649959,关联节点,足踝压弹链
douyin_7035459918949780767,关联节点,三角肌前束
douyin_7035459918949780767,关联节点,上下肢脱节
douyin_7035459918949780767,关联节点,下肢蹬伸链
douyin_7035459918949780767,关联节点,低位到高位起球
douyin_7035459918949780767,关联节点,前臂屈伸肌群
douyin_7035459918949780767,关联节点,核心抗前冲
douyin_7035459918949780767,关联节点,核心稳定不足
douyin_7035459918949780767,关联节点,肘腕释放链
douyin_7035459918949780767,关联节点,腓肠肌
douyin_7035459918949780767,关联节点,膝髋伸展不足
douyin_7035459918949780767,关联节点,证据不足
douyin_7035459918949780767,关联节点,近筐节奏投
douyin_7038196310775844133,关联节点,三角肌前束
douyin_7038196310775844133,关联节点,下肢蹬伸链
douyin_7038196310775844133,关联节点,伸髋不足
douyin_7038196310775844133,关联节点,伸髋起球
douyin_7038196310775844133,关联节点,低位到高位起球
douyin_7038196310775844133,关联节点,前臂屈伸肌群
douyin_7038196310775844133,关联节点,压弹式起跳训练
douyin_7038196310775844133,关联节点,手肘外翻
douyin_7038196310775844133,关联节点,核心稳定肌群
douyin_7038196310775844133,关联节点,筋膜弹性与牵张反射
douyin_7038196310775844133,关联节点,肘腕力线不直
douyin_7038196310775844133,关联节点,肘腕释放链
douyin_7038196310775844133,关联节点,股四头肌
douyin_7038196310775844133,关联节点,腓肠肌
douyin_7038196310775844133,关联节点,膝髋伸展不足
douyin_7038196310775844133,关联节点,证据不足
douyin_7038196310775844133,关联节点,起跳慢
douyin_7038196310775844133,关联节点,足踝压弹链
douyin_7042140032928369951,关联节点,上下肢脱节
douyin_7042140032928369951,关联节点,下肢蹬伸链
douyin_7042140032928369951,关联节点,伸髋不足
douyin_7042140032928369951,关联节点,伸髋起球
douyin_7042140032928369951,关联节点,压弹式起跳训练
douyin_7042140032928369951,关联节点,手快脚慢
douyin_7042140032928369951,关联节点,核心抗前冲
douyin_7042140032928369951,关联节点,核心稳定肌群
douyin_7042140032928369951,关联节点,筋膜弹性与牵张反射
douyin_7042140032928369951,关联节点,股四头肌
douyin_7042140032928369951,关联节点,腓肠肌
douyin_7042140032928369951,关联节点,膝髋伸展不足
douyin_7042140032928369951,关联节点,证据不足
douyin_7042140032928369951,关联节点,足踝压弹链
douyin_7042140032928369951,关联节点,躯干前倾过大
douyin_7042140032928369951,关联节点,重心前冲
douyin_7046281596852374816,关联节点,三角肌前束
douyin_7046281596852374816,关联节点,上下肢脱节
douyin_7046281596852374816,关联节点,低位到高位起球
douyin_7046281596852374816,关联节点,前臂屈伸肌群
douyin_7046281596852374816,关联节点,肘腕释放链
douyin_7046281596852374816,关联节点,肱三头肌
douyin_7046281596852374816,关联节点,证据不足
douyin_7063051650348485920,关联节点,三角肌前束
douyin_7063051650348485920,关联节点,上下肢脱节
douyin_7063051650348485920,关联节点,下肢蹬伸链
douyin_7063051650348485920,关联节点,前臂屈伸肌群
douyin_7063051650348485920,关联节点,手快脚慢
douyin_7063051650348485920,关联节点,筋膜弹性与牵张反射
douyin_7063051650348485920,关联节点,肘腕力线不直
douyin_7063051650348485920,关联节点,肘腕释放链
douyin_7063051650348485920,关联节点,股四头肌
douyin_7063051650348485920,关联节点,肱三头肌
douyin_7063051650348485920,关联节点,证据不足
douyin_7066628530460806411,关联节点,三角肌前束
douyin_7066628530460806411,关联节点,前臂屈伸肌群
douyin_7066628530460806411,关联节点,肘腕力线不直
douyin_7066628530460806411,关联节点,肘腕释放链
douyin_7066628530460806411,关联节点,证据不足
douyin_7066628530460806411,关联节点,近筐节奏投
douyin_7069297321426554142,关联节点,上下肢脱节
douyin_7069297321426554142,关联节点,下肢蹬伸链
douyin_7069297321426554142,关联节点,前臂屈伸肌群
douyin_7069297321426554142,关联节点,压弹式起跳训练
douyin_7069297321426554142,关联节点,筋膜弹性与牵张反射
douyin_7069297321426554142,关联节点,肘腕力线不直
douyin_7069297321426554142,关联节点,肘腕释放链
douyin_7069297321426554142,关联节点,肱三头肌
douyin_7069297321426554142,关联节点,腓肠肌
douyin_7069297321426554142,关联节点,膝髋伸展不足
douyin_7069297321426554142,关联节点,臀大肌
douyin_7069297321426554142,关联节点,证据不足
douyin_7069297321426554142,关联节点,起跳慢
douyin_7069297321426554142,关联节点,足踝压弹链
douyin_7071483550029122830,关联节点,三角肌前束
douyin_7071483550029122830,关联节点,上下肢脱节
douyin_7071483550029122830,关联节点,下肢蹬伸链
douyin_7071483550029122830,关联节点,前臂屈伸肌群
douyin_7071483550029122830,关联节点,肘腕释放链
douyin_7071483550029122830,关联节点,腓肠肌
douyin_7071483550029122830,关联节点,膝髋伸展不足
douyin_7071483550029122830,关联节点,证据不足
